time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786133636.039496,0.2586928330488667,0.011225287111904897,0.0,0.0,0.0,0.040482073238270036,0.9991802648903406,odom,base_link
1786133636.1026165,0.27625640551440894,0.012770195470452647,0.0,0.0,0.0,0.043853498421905,0.9990379725897109,odom,base_link
1786133636.1826982,0.29732237602421174,0.014737850594654066,0.0,0.0,0.0,0.04655028088001951,0.9989159480907246,odom,base_link
1786133636.3106945,0.32444230881882297,0.017381790386282084,0.0,0.0,0.0,0.048572646174416416,0.9988196524115928,odom,base_link
1786133636.3898501,0.33879413464598473,0.018839650057470153,0.0,0.0,0.0,0.05059481235815891,0.9987192623367404,odom,base_link
1786133636.502308,0.35122716551518846,0.02015348431696168,0.0,0.0,0.0,0.052616771141914126,0.9986147782776897,odom,base_link
1786133636.5662446,0.354414201109803,0.02049896968296168,0.0,0.0,0.0,0.05396462434908858,0.9985428480134749,odom,base_link
1786133636.6302748,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133636.6782296,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133636.7415092,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133636.7898858,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133636.8539999,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133636.917807,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133636.9658654,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.0139518,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.061926,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.1100566,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.1565912,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.2050202,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.252829,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.3013139,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.3493953,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.3975577,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.4452925,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.4931538,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.5408928,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.5890708,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.6530254,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.7011268,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.7490823,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.7966387,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.8449855,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133637.8924868,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133638.0046368,0.3553701710194019,0.0206039057286887,0.0,0.0,0.0,0.0546385142371994,0.9985062006627456,odom,base_link
1786133638.1798809,0.3556886834041675,0.020640174461028376,0.0,0.0,0.0,0.05666003335641618,0.9983935299369933,odom,base_link
1786133638.3875978,0.3572766653185372,0.020858010281084735,0.0,0.0,0.0,0.06811067774989962,0.9976777714154251,odom,base_link
1786133638.5156984,0.35664405593063203,0.02075376248440469,0.0,0.0,0.0,0.08157043248575865,0.9966675797597142,odom,base_link
1786133638.5799043,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.6438556,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.7078602,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.7551255,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.8190112,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.8672876,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.915117,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
1786133638.9632576,0.356327821880134,0.020701211694684564,0.0,0.0,0.0,0.08224305049553304,0.9966123020739756,odom,base_link
